genename	protein_desc	Accession_Number	Molecular_Weight	SKMES1.AF1521.MG132.DMSO_SpC	SKMES1.AF1521.MG132.RBN011364_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
MRPL32	39S ribosomal protein L32, mitochondrial OS=Homo sapiens GN=MRPL32 PE=1 SV=1	sp|Q9BYC8|RM32_HUMAN	21 kDa	2	2	skmes_mg132_af1521.adpr.msbio	Q9BYC8	64983	0	0	21	2.04761904761905	2.04761904761905	1	1	MRPL32
MRPL33	39S ribosomal protein L33, mitochondrial OS=Homo sapiens GN=MRPL33 PE=1 SV=1	sp|O75394|RM33_HUMAN	8 kDa	0	2	skmes_mg132_af1521.adpr.msbio	O75394	9553	2	1	8	0.125	2.125	17	201	MRPL33
MRPL40	39S ribosomal protein L40, mitochondrial OS=Homo sapiens GN=MRPL40 PE=1 SV=1	sp|Q9NQ50|RM40_HUMAN	24 kDa	0	2	skmes_mg132_af1521.adpr.msbio	Q9NQ50	64976	2	1	24	0.0416666666666667	2.04166666666667	49	201	MRPL40
MRPL46	39S ribosomal protein L46, mitochondrial OS=Homo sapiens GN=MRPL46 PE=1 SV=1	sp|Q9H2W6|RM46_HUMAN	32 kDa	4	8	skmes_mg132_af1521.adpr.msbio	Q9H2W6	26589	4	0.5	32	4.03125	8.03125	1.9922480620155	1.99750623441397	MRPL46
MRPL48	39S ribosomal protein L48, mitochondrial OS=Homo sapiens GN=MRPL48 PE=1 SV=2	sp|Q96GC5|RM48_HUMAN	24 kDa	9	8	skmes_mg132_af1521.adpr.msbio	Q96GC5	51642	-1	-0.111111111111111	24	9.04166666666667	8.04166666666667	0.889400921658986	0.889012208657048	MRPL48
MRPL55	39S ribosomal protein L55, mitochondrial OS=Homo sapiens GN=MRPL55 PE=1 SV=1	sp|Q7Z7F7|RM55_HUMAN	15 kDa	0	2	skmes_mg132_af1521.adpr.msbio	Q7Z7F7	128308	2	1	15	0.0666666666666667	2.06666666666667	31	201	MRPL55
MRPL58	Peptidyl-tRNA hydrolase ICT1, mitochondrial OS=Homo sapiens GN=MRPL58 PE=1 SV=1	sp|Q14197|ICT1_HUMAN	24 kDa	5	5	skmes_mg132_af1521.adpr.msbio	Q14197	3396	0	0	24	5.04166666666667	5.04166666666667	1	1	MRPL58
MRPS11	28S ribosomal protein S11, mitochondrial OS=Homo sapiens GN=MRPS11 PE=1 SV=2	sp|P82912|RT11_HUMAN	21 kDa	5	7	skmes_mg132_af1521.adpr.msbio	P82912	64963	2	0.285714285714286	21	5.04761904761905	7.04761904761905	1.39622641509434	1.39920159680639	MRPS11
MRPS12	28S ribosomal protein S12, mitochondrial OS=Homo sapiens GN=MRPS12 PE=1 SV=1	sp|O15235|RT12_HUMAN	15 kDa	7	9	skmes_mg132_af1521.adpr.msbio	O15235	6183	2	0.222222222222222	15	7.06666666666667	9.06666666666667	1.28301886792453	1.28530670470756	MRPS12
MRPS21	28S ribosomal protein S21, mitochondrial OS=Homo sapiens GN=MRPS21 PE=1 SV=2	sp|P82921|RT21_HUMAN	11 kDa	0	2	skmes_mg132_af1521.adpr.msbio	P82921	54460	2	1	11	0.0909090909090909	2.09090909090909	23	201	MRPS21
MRRF	Ribosome-recycling factor, mitochondrial OS=Homo sapiens GN=MRRF PE=1 SV=1	sp|Q96E11|RRFM_HUMAN	29 kDa	11	19	skmes_mg132_af1521.adpr.msbio	Q96E11	92399	8	0.421052631578947	29	11.0344827586207	19.0344827586207	1.725	1.72661217075386	MRRF
MRTO4	mRNA turnover protein 4 homolog OS=Homo sapiens GN=MRTO4 PE=1 SV=2	sp|Q9UKD2|MRT4_HUMAN	28 kDa	7	0	skmes_mg132_af1521.adpr.msbio	Q9UKD2	51154	-7	-1	28	7.03571428571429	0.0357142857142857	0.0050761421319797	0.0014265335235378	MRTO4
MSH2	DNA mismatch repair protein Msh2 OS=Homo sapiens GN=MSH2 PE=1 SV=1	sp|P43246|MSH2_HUMAN	105 kDa	4	5	skmes_mg132_af1521.adpr.msbio	P43246	4436	1	0.2	105	4.00952380952381	5.00952380952381	1.24940617577197	1.24937655860349	MSH2
MSH6	DNA mismatch repair protein Msh6 OS=Homo sapiens GN=MSH6 PE=1 SV=2	sp|P52701|MSH6_HUMAN	153 kDa	9	0	skmes_mg132_af1521.adpr.msbio	P52701	2956	-9	-1	153	9.00653594771242	0.0065359477124183	0.000725689404934688	0.00110987791342952	MSH6
MSN	Moesin OS=Homo sapiens GN=MSN PE=1 SV=3	sp|P26038|MOES_HUMAN	68 kDa	111	155	skmes_mg132_af1521.adpr.msbio	P26038	4478	44	0.283870967741935	68	111.014705882353	155.014705882353	1.3963438866075	1.39636068822629	MSN
MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3	sp|P11586|C1TC_HUMAN	102 kDa	24	10	skmes_mg132_af1521.adpr.msbio	P11586	4522	-14	-0.583333333333333	102	24.0098039215686	10.0098039215686	0.416904859126174	0.416909620991254	MTHFD1
MTIF3	Translation initiation factor IF-3, mitochondrial OS=Homo sapiens GN=MTIF3 PE=1 SV=4	sp|Q9H2K0|IF3M_HUMAN	32 kDa	4	7	skmes_mg132_af1521.adpr.msbio	Q9H2K0	219402	3	0.428571428571429	32	4.03125	7.03125	1.74418604651163	1.74812967581047	MTIF3
MTOR	Serine/threonine-protein kinase mTOR OS=Homo sapiens GN=MTOR PE=1 SV=1	sp|P42345|MTOR_HUMAN	289 kDa	16	0	skmes_mg132_af1521.adpr.msbio	P42345	2475	-16	-1	289	16.0034602076125	0.00346020761245675	0.000216216216216216	0.000624609618988132	MTOR
MVP	Major vault protein OS=Homo sapiens GN=MVP PE=1 SV=4	sp|Q14764|MVP_HUMAN	99 kDa	33	0	skmes_mg132_af1521.adpr.msbio	Q14764	9961	-33	-1	99	33.010101010101	0.0101010101010101	0.000305997552019584	0.000302938503483793	MVP
MYH9	Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	sp|P35579|MYH9_HUMAN	227 kDa	97	19	skmes_mg132_af1521.adpr.msbio	P35579	4627	-78	-0.804123711340206	227	97.0044052863436	19.0044052863436	0.19591280653951	0.195959179466034	MYH9
MYL6	Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2	sp|P60660|MYL6_HUMAN	17 kDa	9	14	skmes_mg132_af1521.adpr.msbio	P60660	4637	5	0.357142857142857	17	9.05882352941176	14.0588235294118	1.55194805194805	1.55493895671476	MYL6
MYO18A	Unconventional myosin-XVIIIa OS=Homo sapiens GN=MYO18A PE=1 SV=3	sp|Q92614|MY18A_HUMAN	233 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q92614	399687	-3	-1	233	3.00429184549356	0.00429184549356223	0.00142857142857143	0.00332225913621263	MYO18A
MYO1B	Unconventional myosin-Ib OS=Homo sapiens GN=MYO1B PE=1 SV=3	sp|O43795|MYO1B_HUMAN	132 kDa	4	0	skmes_mg132_af1521.adpr.msbio	O43795	4430	-4	-1	132	4.00757575757576	0.00757575757575758	0.00189035916824197	0.00249376558603491	MYO1B
MYO5A	Unconventional myosin-Va OS=Homo sapiens GN=MYO5A PE=1 SV=2	sp|Q9Y4I1|MYO5A_HUMAN	215 kDa	2	0	skmes_mg132_af1521.adpr.msbio	Q9Y4I1	4644	-2	-1	215	2.0046511627907	0.00465116279069767	0.00232018561484919	0.00497512437810945	MYO5A
MYOF	Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1	sp|Q9NZM1|MYOF_HUMAN	235 kDa	12	0	skmes_mg132_af1521.adpr.msbio	Q9NZM1	26509	-12	-1	235	12.0042553191489	0.00425531914893617	0.000354484225451967	0.000832639467110741	MYOF
NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1	sp|E9PAV3|NACAM_HUMAN (+1)	205 kDa	7	0	skmes_mg132_af1521.adpr.msbio	E9PAV3	4666	-7	-1	205	7.00487804878049	0.0048780487804878	0.000696378830083565	0.0014265335235378	NACA
NAP1L1	Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1	sp|P55209|NP1L1_HUMAN	45 kDa	2	0	skmes_mg132_af1521.adpr.msbio	P55209	4673	-2	-1	45	2.02222222222222	0.0222222222222222	0.010989010989011	0.00497512437810945	NAP1L1
NCCRP1	F-box only protein 50 OS=Homo sapiens GN=NCCRP1 PE=1 SV=1	sp|Q6ZVX7|FBX50_HUMAN	31 kDa	3	3	skmes_mg132_af1521.adpr.msbio	Q6ZVX7	342897	0	0	31	3.03225806451613	3.03225806451613	1	1	NCCRP1
NCKAP1	Nck-associated protein 1 OS=Homo sapiens GN=NCKAP1 PE=1 SV=1	sp|Q9Y2A7|NCKP1_HUMAN	129 kDa	5	0	skmes_mg132_af1521.adpr.msbio	Q9Y2A7	10787	-5	-1	129	5.0077519379845	0.00775193798449612	0.00154798761609907	0.00199600798403194	NCKAP1
NCL	Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	sp|P19338|NUCL_HUMAN	77 kDa	44	22	skmes_mg132_af1521.adpr.msbio	P19338	4691	-22	-0.5	77	44.012987012987	22.012987012987	0.500147536146356	0.500113610543058	NCL
NCOA1	Nuclear receptor coactivator 1 OS=Homo sapiens GN=NCOA1 PE=1 SV=3	sp|Q15788|NCOA1_HUMAN	157 kDa	5	0	skmes_mg132_af1521.adpr.msbio	Q15788	8648	-5	-1	157	5.00636942675159	0.00636942675159236	0.00127226463104326	0.00199600798403194	NCOA1
NCOA2	Nuclear receptor coactivator 2 OS=Homo sapiens GN=NCOA2 PE=1 SV=2	sp|Q15596|NCOA2_HUMAN	159 kDa	13	0	skmes_mg132_af1521.adpr.msbio	Q15596	10499	-13	-1	159	13.0062893081761	0.00628930817610063	0.000483558994197292	0.000768639508070715	NCOA2
NCOR1	Nuclear receptor corepressor 1 OS=Homo sapiens GN=NCOR1 PE=1 SV=2	sp|O75376|NCOR1_HUMAN	270 kDa	3	0	skmes_mg132_af1521.adpr.msbio	O75376	9611	-3	-1	270	3.0037037037037	0.0037037037037037	0.00123304562268804	0.00332225913621263	NCOR1
NCOR2	Nuclear receptor corepressor 2 OS=Homo sapiens GN=NCOR2 PE=1 SV=2	sp|Q9Y618|NCOR2_HUMAN	275 kDa	4	0	skmes_mg132_af1521.adpr.msbio	Q9Y618	9612	-4	-1	275	4.00363636363636	0.00363636363636364	0.000908265213442325	0.00249376558603491	NCOR2
NCSTN	Nicastrin OS=Homo sapiens GN=NCSTN PE=1 SV=2	sp|Q92542|NICA_HUMAN	78 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q92542	23385	-3	-1	78	3.01282051282051	0.0128205128205128	0.00425531914893617	0.00332225913621263	NCSTN
NDUFAF2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 OS=Homo sapiens GN=NDUFAF2 PE=1 SV=1	sp|Q8N183|NDUF2_HUMAN	20 kDa	4	4	skmes_mg132_af1521.adpr.msbio	Q8N183	91942	0	0	20	4.05	4.05	1	1	NDUFAF2
NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 OS=Homo sapiens GN=NDUFS5 PE=1 SV=3	sp|O43920|NDUS5_HUMAN	13 kDa	3	3	skmes_mg132_af1521.adpr.msbio	O43920	4725	0	0	13	3.07692307692308	3.07692307692308	1	1	NDUFS5
NELFB	Negative elongation factor B OS=Homo sapiens GN=NELFB PE=1 SV=1	sp|Q8WX92|NELFB_HUMAN	66 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q8WX92	25920	-3	-1	66	3.01515151515152	0.0151515151515152	0.0050251256281407	0.00332225913621263	NELFB
NELFE	Negative elongation factor E OS=Homo sapiens GN=NELFE PE=1 SV=3	sp|P18615|NELFE_HUMAN	43 kDa	11	15	skmes_mg132_af1521.adpr.msbio	P18615	7936	4	0.266666666666667	43	11.0232558139535	15.0232558139535	1.36286919831224	1.36330608537693	NELFE
NES	Nestin OS=Homo sapiens GN=NES PE=1 SV=2	sp|P48681|NEST_HUMAN	177 kDa	2	0	skmes_mg132_af1521.adpr.msbio	P48681	10763	-2	-1	177	2.00564971751412	0.00564971751412429	0.0028169014084507	0.00497512437810945	NES
NF2	Merlin OS=Homo sapiens GN=NF2 PE=1 SV=1	sp|P35240|MERL_HUMAN	70 kDa	15	28	skmes_mg132_af1521.adpr.msbio	P35240	4771	13	0.464285714285714	70	15.0142857142857	28.0142857142857	1.86584205518554	1.86608927381746	NF2
NIPSNAP1	Protein NipSnap homolog 1 OS=Homo sapiens GN=NIPSNAP1 PE=1 SV=1	sp|Q9BPW8|NIPS1_HUMAN	33 kDa	36	44	skmes_mg132_af1521.adpr.msbio	Q9BPW8	8508	8	0.181818181818182	33	36.030303030303	44.030303030303	1.22203532380151	1.22216051096918	NIPSNAP1
NIPSNAP2	Protein NipSnap homolog 2 OS=Homo sapiens GN=NIPSNAP2 PE=1 SV=1	sp|O75323|NIPS2_HUMAN	34 kDa	0	7	skmes_mg132_af1521.adpr.msbio	O75323	2631	7	1	34	0.0294117647058824	7.02941176470588	239	701	NIPSNAP2
NME2	Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1	sp|P22392|NDKB_HUMAN	17 kDa	11	9	skmes_mg132_af1521.adpr.msbio	P22392	4831	-2	-0.181818181818182	17	11.0588235294118	9.05882352941176	0.819148936170213	0.818346957311535	NME2
NOLC1	Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1 PE=1 SV=2	sp|Q14978|NOLC1_HUMAN	74 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q14978	9221	-3	-1	74	3.01351351351351	0.0135135135135135	0.00448430493273543	0.00332225913621263	NOLC1
NOMO2	Nodal modulator 2 OS=Homo sapiens GN=NOMO2 PE=1 SV=1	sp|Q5JPE7|NOMO2_HUMAN	139 kDa	14	4	skmes_mg132_af1521.adpr.msbio	Q5JPE7	283820	-10	-0.714285714285714	139	14.0071942446043	4.00719424460432	0.28608115048793	0.286224125624554	NOMO2
NONO	Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4	sp|Q15233|NONO_HUMAN	54 kDa	7	0	skmes_mg132_af1521.adpr.msbio	Q15233	4841	-7	-1	54	7.01851851851852	0.0185185185185185	0.00263852242744063	0.0014265335235378	NONO
NOSIP	Nitric oxide synthase-interacting protein OS=Homo sapiens GN=NOSIP PE=1 SV=1	sp|Q9Y314|NOSIP_HUMAN	33 kDa	28	32	skmes_mg132_af1521.adpr.msbio	Q9Y314	51070	4	0.125	33	28.030303030303	32.030303030303	1.1427027027027	1.14280614066405	NOSIP
NPEPPS	Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2	sp|P55786|PSA_HUMAN	103 kDa	2	0	skmes_mg132_af1521.adpr.msbio	P55786	9520	-2	-1	103	2.00970873786408	0.00970873786407767	0.00483091787439614	0.00497512437810945	NPEPPS
NPLOC4	Nuclear protein localization protein 4 homolog OS=Homo sapiens GN=NPLOC4 PE=1 SV=3	sp|Q8TAT6|NPL4_HUMAN	68 kDa	4	0	skmes_mg132_af1521.adpr.msbio	Q8TAT6	55666	-4	-1	68	4.01470588235294	0.0147058823529412	0.00366300366300366	0.00249376558603491	NPLOC4
NPM1	Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2	sp|P06748|NPM_HUMAN	33 kDa	24	29	skmes_mg132_af1521.adpr.msbio	P06748	4869	5	0.172413793103448	33	24.030303030303	29.030303030303	1.20807061790668	1.2082465639317	NPM1
NR0B1	Nuclear receptor subfamily 0 group B member 1 OS=Homo sapiens GN=NR0B1 PE=1 SV=2	sp|P51843|NR0B1_HUMAN	52 kDa	6	0	skmes_mg132_af1521.adpr.msbio	P51843	190	-6	-1	52	6.01923076923077	0.0192307692307692	0.00319488817891374	0.00166389351081531	NR0B1
NR3C1	Glucocorticoid receptor OS=Homo sapiens GN=NR3C1 PE=1 SV=1	sp|P04150|GCR_HUMAN	86 kDa	4	0	skmes_mg132_af1521.adpr.msbio	P04150	2908	-4	-1	86	4.01162790697674	0.0116279069767442	0.00289855072463768	0.00249376558603491	NR3C1
NUDT21	Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens GN=NUDT21 PE=1 SV=1	sp|O43809|CPSF5_HUMAN	26 kDa	106	104	skmes_mg132_af1521.adpr.msbio	O43809	11051	-2	-0.0188679245283019	26	106.038461538462	104.038461538462	0.98113891911498	0.98113385529667	NUDT21
NUP155	Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1	sp|O75694|NU155_HUMAN	155 kDa	21	0	skmes_mg132_af1521.adpr.msbio	O75694	9631	-21	-1	155	21.0064516129032	0.00645161290322581	0.000307125307125307	0.000475963826749167	NUP155
NUP214	Nuclear pore complex protein Nup214 OS=Homo sapiens GN=NUP214 PE=1 SV=2	sp|P35658|NU214_HUMAN	214 kDa	2	0	skmes_mg132_af1521.adpr.msbio	P35658	8021	-2	-1	214	2.00467289719626	0.00467289719626168	0.00233100233100233	0.00497512437810945	NUP214
NUP93	Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2	sp|Q8N1F7|NUP93_HUMAN	93 kDa	2	0	skmes_mg132_af1521.adpr.msbio	Q8N1F7	9688	-2	-1	93	2.01075268817204	0.010752688172043	0.0053475935828877	0.00497512437810945	NUP93
ODF2	Outer dense fiber protein 2 OS=Homo sapiens GN=ODF2 PE=1 SV=1	sp|Q5BJF6|ODFP2_HUMAN	95 kDa	0	2	skmes_mg132_af1521.adpr.msbio	Q5BJF6	4957	2	1	95	0.0105263157894737	2.01052631578947	191	201	ODF2
OPA1	Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 PE=1 SV=3	sp|O60313|OPA1_HUMAN	112 kDa	4	0	skmes_mg132_af1521.adpr.msbio	O60313	4976	-4	-1	112	4.00892857142857	0.00892857142857143	0.0022271714922049	0.00249376558603491	OPA1
ORC6	Origin recognition complex subunit 6 OS=Homo sapiens GN=ORC6 PE=1 SV=1	sp|Q9Y5N6|ORC6_HUMAN	28 kDa	0	2	skmes_mg132_af1521.adpr.msbio	Q9Y5N6	23594	2	1	28	0.0357142857142857	2.03571428571429	57	201	ORC6
P3H1	Prolyl 3-hydroxylase 1 OS=Homo sapiens GN=P3H1 PE=1 SV=2	sp|Q32P28|P3H1_HUMAN	83 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q32P28	64175	-3	-1	83	3.01204819277108	0.0120481927710843	0.004	0.00332225913621263	P3H1
P4HA1	Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens GN=P4HA1 PE=1 SV=2	sp|P13674|P4HA1_HUMAN	61 kDa	4	2	skmes_mg132_af1521.adpr.msbio	P13674	5033	-2	-0.5	61	4.01639344262295	2.01639344262295	0.502040816326531	0.501246882793017	P4HA1
P4HB	Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3	sp|P07237|PDIA1_HUMAN	57 kDa	27	3	skmes_mg132_af1521.adpr.msbio	P07237	5034	-24	-0.888888888888889	57	27.0175438596491	3.01754385964912	0.111688311688312	0.111440207330618	P4HB
PABPC1	Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2	sp|P11940|PABP1_HUMAN	71 kDa	29	23	skmes_mg132_af1521.adpr.msbio	P11940	26986	-6	-0.206896551724138	71	29.0140845070423	23.0140845070423	0.793203883495146	0.793174767321613	PABPC1
PABPC4	Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1	sp|Q13310|PABP4_HUMAN	71 kDa	38	25	skmes_mg132_af1521.adpr.msbio	Q13310	8761	-13	-0.342105263157895	71	38.0140845070423	25.0140845070423	0.658021489440533	0.657984740857669	PABPC4
PAICS	Multifunctional protein ADE2 OS=Homo sapiens GN=PAICS PE=1 SV=3	sp|P22234|PUR6_HUMAN	47 kDa	8	0	skmes_mg132_af1521.adpr.msbio	P22234	10606	-8	-1	47	8.02127659574468	0.0212765957446809	0.0026525198938992	0.00124843945068664	PAICS
PAPPA	Pappalysin-1 OS=Homo sapiens GN=PAPPA PE=1 SV=3	sp|Q13219|PAPP1_HUMAN	181 kDa	5	0	skmes_mg132_af1521.adpr.msbio	Q13219	5069	-5	-1	181	5.00552486187845	0.00552486187845304	0.0011037527593819	0.00199600798403194	PAPPA
PARD3	Partitioning defective 3 homolog OS=Homo sapiens GN=PARD3 PE=1 SV=2	sp|Q8TEW0|PARD3_HUMAN	151 kDa	8	9	skmes_mg132_af1521.adpr.msbio	Q8TEW0	56288	1	0.111111111111111	151	8.00662251655629	9.00662251655629	1.12489660876758	1.12484394506866	PARD3
PARK7	Protein/nucleic acid deglycase DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2	sp|Q99497|PARK7_HUMAN	20 kDa	5	0	skmes_mg132_af1521.adpr.msbio	Q99497	11315	-5	-1	20	5.05	0.05	0.0099009900990099	0.00199600798403194	PARK7
PARP1	Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4	sp|P09874|PARP1_HUMAN	113 kDa	123	155	skmes_mg132_af1521.adpr.msbio	P09874	142	32	0.206451612903226	113	123.008849557522	155.008849557522	1.26014388489209	1.26014145191448	PARP1
PARP14	Poly [ADP-ribose] polymerase 14 OS=Homo sapiens GN=PARP14 PE=1 SV=3	sp|Q460N5|PAR14_HUMAN	203 kDa	191	69	skmes_mg132_af1521.adpr.msbio	Q460N5	54625	-122	-0.638743455497382	203	191.004926108374	69.0049261083744	0.361273018001754	0.361289984817549	PARP14
PARP4	Poly [ADP-ribose] polymerase 4 OS=Homo sapiens GN=PARP4 PE=1 SV=3	sp|Q9UKK3|PARP4_HUMAN	193 kDa	28	0	skmes_mg132_af1521.adpr.msbio	Q9UKK3	143	-28	-1	193	28.0051813471503	0.00518134715025907	0.000185013876040703	0.000357015351660121	PARP4
PARP9	Poly [ADP-ribose] polymerase 9 OS=Homo sapiens GN=PARP9 PE=1 SV=2	sp|Q8IXQ6|PARP9_HUMAN	96 kDa	6	0	skmes_mg132_af1521.adpr.msbio	Q8IXQ6	83666	-6	-1	96	6.01041666666667	0.0104166666666667	0.00173310225303293	0.00166389351081531	PARP9
PAXBP1	PAX3- and PAX7-binding protein 1 OS=Homo sapiens GN=PAXBP1 PE=1 SV=2	sp|Q9Y5B6|PAXB1_HUMAN	105 kDa	49	9	skmes_mg132_af1521.adpr.msbio	Q9Y5B6	94104	-40	-0.816326530612245	105	49.0095238095238	9.00952380952381	0.183832102603964	0.183840032646399	PAXBP1
PBXIP1	Pre-B-cell leukemia transcription factor-interacting protein 1 OS=Homo sapiens GN=PBXIP1 PE=1 SV=1	sp|Q96AQ6|PBIP1_HUMAN	81 kDa	14	10	skmes_mg132_af1521.adpr.msbio	Q96AQ6	57326	-4	-0.285714285714286	81	14.0123456790123	10.0123456790123	0.714537444933921	0.714489650249822	PBXIP1
PCBP1	Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2	sp|Q15365|PCBP1_HUMAN	37 kDa	20	17	skmes_mg132_af1521.adpr.msbio	Q15365	5093	-3	-0.15	37	20.027027027027	17.027027027027	0.850202429149798	0.850074962518741	PCBP1
PCBP2	Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1	sp|Q15366|PCBP2_HUMAN	39 kDa	15	8	skmes_mg132_af1521.adpr.msbio	Q15366	5094	-7	-0.466666666666667	39	15.025641025641	8.02564102564103	0.534129692832764	0.533644237175216	PCBP2
PCF11	Pre-mRNA cleavage complex 2 protein Pcf11 OS=Homo sapiens GN=PCF11 PE=1 SV=3	sp|O94913|PCF11_HUMAN	173 kDa	4	0	skmes_mg132_af1521.adpr.msbio	O94913	51585	-4	-1	173	4.00578034682081	0.00578034682080925	0.00144300144300144	0.00249376558603491	PCF11
PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Homo sapiens GN=PCMT1 PE=1 SV=4	sp|P22061|PIMT_HUMAN	25 kDa	3	0	skmes_mg132_af1521.adpr.msbio	P22061	5110	-3	-1	25	3.04	0.04	0.0131578947368421	0.00332225913621263	PCMT1
PCNP	PEST proteolytic signal-containing nuclear protein OS=Homo sapiens GN=PCNP PE=1 SV=2	sp|Q8WW12|PCNP_HUMAN	19 kDa	3	0	skmes_mg132_af1521.adpr.msbio	Q8WW12	57092	-3	-1	19	3.05263157894737	0.0526315789473684	0.0172413793103448	0.00332225913621263	PCNP
PDAP1	28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens GN=PDAP1 PE=1 SV=1	sp|Q13442|HAP28_HUMAN	21 kDa	16	25	skmes_mg132_af1521.adpr.msbio	Q13442	11333	9	0.36	21	16.047619047619	25.047619047619	1.56083086053412	1.56214865708932	PDAP1
PDCD10	Programmed cell death protein 10 OS=Homo sapiens GN=PDCD10 PE=1 SV=1	sp|Q9BUL8|PDC10_HUMAN	25 kDa	0	3	skmes_mg132_af1521.adpr.msbio	Q9BUL8	11235	3	1	25	0.04	3.04	76	301	PDCD10
PDIA3	Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4	sp|P30101|PDIA3_HUMAN	57 kDa	6	0	skmes_mg132_af1521.adpr.msbio	P30101	2923	-6	-1	57	6.01754385964912	0.0175438596491228	0.00291545189504373	0.00166389351081531	PDIA3
PDIA5	Protein disulfide-isomerase A5 OS=Homo sapiens GN=PDIA5 PE=1 SV=1	sp|Q14554|PDIA5_HUMAN	60 kDa	30	27	skmes_mg132_af1521.adpr.msbio	Q14554	10954	-3	-0.1	60	30.0166666666667	27.0166666666667	0.900055524708495	0.900033322225925	PDIA5
PES1	Pescadillo homolog OS=Homo sapiens GN=PES1 PE=1 SV=1	sp|O00541|PESC_HUMAN	68 kDa	3	0	skmes_mg132_af1521.adpr.msbio	O00541	23481	-3	-1	68	3.01470588235294	0.0147058823529412	0.0048780487804878	0.00332225913621263	PES1
PFKL	ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens GN=PFKL PE=1 SV=6	sp|P17858|PFKAL_HUMAN	85 kDa	14	8	skmes_mg132_af1521.adpr.msbio	P17858	5211	-6	-0.428571428571429	85	14.0117647058824	8.01176470588235	0.571788413098237	0.571734475374732	PFKL
PFKM	ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens GN=PFKM PE=1 SV=2	sp|P08237|PFKAM_HUMAN	85 kDa	8	0	skmes_mg132_af1521.adpr.msbio	P08237	5213	-8	-1	85	8.01176470588235	0.0117647058823529	0.00146842878120411	0.00124843945068664	PFKM
PFKP	ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens GN=PFKP PE=1 SV=2	sp|Q01813|PFKAP_HUMAN	86 kDa	48	43	skmes_mg132_af1521.adpr.msbio	Q01813	5214	-5	-0.104166666666667	86	48.0116279069767	43.0116279069767	0.895858561395011	0.895855030202041	PFKP
PFN1	Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2	sp|P07737|PROF1_HUMAN	15 kDa	13	11	skmes_mg132_af1521.adpr.msbio	P07737	5216	-2	-0.153846153846154	15	13.0666666666667	11.0666666666667	0.846938775510204	0.846272098385857	PFN1
