genename	protein_desc	Accession_Number	Molecular_Weight	NCIH1373.AF1521.DMSO_SpC	NCIH1373.AF1521.RBN011364_SpC	label	uniprotswissprot	entrez.id	spc.trt_ctrl.delta	spc.ctrl_fraction_delta	molweight	ctrl.binding	trt.binding	trt.fc.binding	trt.fc	gene.symbol.xref
MAP2	Microtubule-associated protein 2 OS=Homo sapiens GN=MAP2 PE=1 SV=4	sp|P11137|MTAP2_HUMAN	200 kDa	3	4	ncih1373_af1521.adpr.msbio	P11137	4133	1	0.25	200	3.005	4.005	1.33277870216306	1.33222591362126	MAP2
MAP4	Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 PE=1 SV=3	sp|P27816|MAP4_HUMAN	121 kDa	49	71	ncih1373_af1521.adpr.msbio	P27816	4134	22	0.309859154929577	121	49.0082644628099	71.0082644628099	1.44890387858347	1.44888798204448	MAP4
MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens GN=MAP4K4 PE=1 SV=2	sp|O95819|M4K4_HUMAN	142 kDa	2	0	ncih1373_af1521.adpr.msbio	O95819	9448	-2	-1	142	2.00704225352113	0.00704225352112676	0.00350877192982456	0.00497512437810945	MAP4K4
MAP7D3	MAP7 domain-containing protein 3 OS=Homo sapiens GN=MAP7D3 PE=1 SV=2	sp|Q8IWC1|MA7D3_HUMAN	98 kDa	17	11	ncih1373_af1521.adpr.msbio	Q8IWC1	79649	-6	-0.352941176470588	98	17.0102040816327	11.0102040816327	0.647270545890822	0.647266313932981	MAP7D3
MAP9	Microtubule-associated protein 9 OS=Homo sapiens GN=MAP9 PE=1 SV=3	sp|Q49MG5|MAP9_HUMAN	74 kDa	7	6	ncih1373_af1521.adpr.msbio	Q49MG5	79884	-1	-0.142857142857143	74	7.01351351351351	6.01351351351351	0.857418111753372	0.85734664764622	MAP9
MARCKS	Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4	sp|P29966|MARCS_HUMAN	32 kDa	10	15	ncih1373_af1521.adpr.msbio	P29966	4082	5	0.333333333333333	32	10.03125	15.03125	1.49844236760125	1.4995004995005	MARCKS
MARS	"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2"	sp|P56192|SYMC_HUMAN	101 kDa	2	0	ncih1373_af1521.adpr.msbio	P56192	4141	-2	-1	101	2.00990099009901	0.0099009900990099	0.00492610837438424	0.00497512437810945	MARS1
MATR3	Matrin-3 OS=Homo sapiens GN=MATR3 PE=1 SV=2	sp|P43243|MATR3_HUMAN	95 kDa	32	4	ncih1373_af1521.adpr.msbio	P43243	9782	-28	-0.875	95	32.0105263157895	4.01052631578947	0.125287734297928	0.125273352077476	MATR3
MBP	Myelin basic protein OS=Homo sapiens GN=MBP PE=1 SV=3	sp|P02686|MBP_HUMAN	33 kDa	2	0	ncih1373_af1521.adpr.msbio	P02686	4155	-2	-1	33	2.03030303030303	0.0303030303030303	0.0149253731343284	0.00497512437810945	MBP
MCM2	DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4	sp|P49736|MCM2_HUMAN	102 kDa	4	0	ncih1373_af1521.adpr.msbio	P49736	4171	-4	-1	102	4.00980392156863	0.00980392156862745	0.00244498777506112	0.00249376558603491	MCM2
MCM3	DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3	sp|P25205|MCM3_HUMAN	91 kDa	8	3	ncih1373_af1521.adpr.msbio	P25205	4172	-5	-0.625	91	8.01098901098901	3.01098901098901	0.375857338820302	0.375780274656679	MCM3
MCM7	DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4	sp|P33993|MCM7_HUMAN	81 kDa	3	0	ncih1373_af1521.adpr.msbio	P33993	4176	-3	-1	81	3.01234567901235	0.0123456790123457	0.0040983606557377	0.00332225913621263	MCM7
MDC1	Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens GN=MDC1 PE=1 SV=3	sp|Q14676|MDC1_HUMAN	227 kDa	6	0	ncih1373_af1521.adpr.msbio	Q14676	9656	-6	-1	227	6.00440528634361	0.00440528634361234	0.000733675715333822	0.00166389351081531	MDC1
MDK	Midkine OS=Homo sapiens GN=MDK PE=1 SV=1	sp|P21741|MK_HUMAN	16 kDa	6	5	ncih1373_af1521.adpr.msbio	P21741	4192	-1	-0.166666666666667	16	6.0625	5.0625	0.835051546391753	0.833610648918469	MDK
MECP2	Methyl-CpG-binding protein 2 OS=Homo sapiens GN=MECP2 PE=1 SV=1	sp|P51608|MECP2_HUMAN	52 kDa	0	2	ncih1373_af1521.adpr.msbio	P51608	4204	2	1	52	0.0192307692307692	2.01923076923077	105	201	MECP2
MELK	Maternal embryonic leucine zipper kinase OS=Homo sapiens GN=MELK PE=1 SV=3	sp|Q14680|MELK_HUMAN	75 kDa	4	0	ncih1373_af1521.adpr.msbio	Q14680	9833	-4	-1	75	4.01333333333333	0.0133333333333333	0.00332225913621262	0.00249376558603491	MELK
MET	Hepatocyte growth factor receptor OS=Homo sapiens GN=MET PE=1 SV=4	sp|P08581|MET_HUMAN	156 kDa	6	4	ncih1373_af1521.adpr.msbio	P08581	4233	-2	-0.333333333333333	156	6.00641025641026	4.00641025641026	0.667022411953042	0.667221297836938	MET
MFAP1	Microfibrillar-associated protein 1 OS=Homo sapiens GN=MFAP1 PE=1 SV=2	sp|P55081|MFAP1_HUMAN	52 kDa	73	52	ncih1373_af1521.adpr.msbio	P55081	4236	-21	-0.287671232876712	52	73.0192307692308	52.0192307692308	0.71240452989202	0.712368168744008	MFAP1
MIA3	Transport and Golgi organization protein 1 homolog OS=Homo sapiens GN=MIA3 PE=1 SV=1	sp|Q5JRA6|TGO1_HUMAN	214 kDa	4	0	ncih1373_af1521.adpr.msbio	Q5JRA6	375056	-4	-1	214	4.00467289719626	0.00467289719626168	0.00116686114352392	0.00249376558603491	MIA3
MKI67	Proliferation marker protein Ki-67 OS=Homo sapiens GN=MKI67 PE=1 SV=2	sp|P46013|KI67_HUMAN	359 kDa	40	0	ncih1373_af1521.adpr.msbio	P46013	4288	-40	-1	359	40.0027855153203	0.00278551532033426	6.96330339112875e-05	0.000249937515621095	MKI67
MOGS	Mannosyl-oligosaccharide glucosidase OS=Homo sapiens GN=MOGS PE=1 SV=5	sp|Q13724|MOGS_HUMAN	92 kDa	6	5	ncih1373_af1521.adpr.msbio	Q13724	7841	-1	-0.166666666666667	92	6.01086956521739	5.01086956521739	0.833634719710669	0.833610648918469	MOGS
MOV10	Putative helicase MOV-10 OS=Homo sapiens GN=MOV10 PE=1 SV=2	sp|Q9HCE1|MOV10_HUMAN	114 kDa	3	0	ncih1373_af1521.adpr.msbio	Q9HCE1	4343	-3	-1	114	3.00877192982456	0.0087719298245614	0.00291545189504373	0.00332225913621263	MOV10
MP68	6.8 kDa mitochondrial proteolipid OS=Homo sapiens GN=MP68 PE=1 SV=1	sp|P56378|68MP_HUMAN	7 kDa	2	0	ncih1373_af1521.adpr.msbio	P56378	9556	-2	-1	7	2.14285714285714	0.142857142857143	0.0666666666666667	0.00497512437810945	ATP5MPL
MRM2	"rRNA methyltransferase 2, mitochondrial OS=Homo sapiens GN=MRM2 PE=1 SV=1"	sp|Q9UI43|MRM2_HUMAN	27 kDa	0	2	ncih1373_af1521.adpr.msbio	Q9UI43	29960	2	1	27	0.037037037037037	2.03703703703704	55	201	MRM2
MRPL14	"39S ribosomal protein L14, mitochondrial OS=Homo sapiens GN=MRPL14 PE=1 SV=1"	sp|Q6P1L8|RM14_HUMAN	16 kDa	0	3	ncih1373_af1521.adpr.msbio	Q6P1L8	64928	3	1	16	0.0625	3.0625	49	301	MRPL14
MRPL33	"39S ribosomal protein L33, mitochondrial OS=Homo sapiens GN=MRPL33 PE=1 SV=1"	sp|O75394|RM33_HUMAN	8 kDa	3	0	ncih1373_af1521.adpr.msbio	O75394	9553	-3	-1	8	3.125	0.125	0.04	0.00332225913621263	MRPL33
MRPS11	"28S ribosomal protein S11, mitochondrial OS=Homo sapiens GN=MRPS11 PE=1 SV=2"	sp|P82912|RT11_HUMAN	21 kDa	3	0	ncih1373_af1521.adpr.msbio	P82912	64963	-3	-1	21	3.04761904761905	0.0476190476190476	0.015625	0.00332225913621263	MRPS11
MRPS12	"28S ribosomal protein S12, mitochondrial OS=Homo sapiens GN=MRPS12 PE=1 SV=1"	sp|O15235|RT12_HUMAN	15 kDa	6	6	ncih1373_af1521.adpr.msbio	O15235	6183	0	0	15	6.06666666666667	6.06666666666667	1	1	MRPS12
MRPS18C	"28S ribosomal protein S18c, mitochondrial OS=Homo sapiens GN=MRPS18C PE=1 SV=1"	sp|Q9Y3D5|RT18C_HUMAN	16 kDa	3	0	ncih1373_af1521.adpr.msbio	Q9Y3D5	51023	-3	-1	16	3.0625	0.0625	0.0204081632653061	0.00332225913621263	MRPS18C
MRRF	"Ribosome-recycling factor, mitochondrial OS=Homo sapiens GN=MRRF PE=1 SV=1"	sp|Q96E11|RRFM_HUMAN	29 kDa	2	9	ncih1373_af1521.adpr.msbio	Q96E11	92399	7	0.777777777777778	29	2.03448275862069	9.03448275862069	4.4406779661017	4.48258706467662	MRRF
MRTO4	mRNA turnover protein 4 homolog OS=Homo sapiens GN=MRTO4 PE=1 SV=2	sp|Q9UKD2|MRT4_HUMAN	28 kDa	4	0	ncih1373_af1521.adpr.msbio	Q9UKD2	51154	-4	-1	28	4.03571428571429	0.0357142857142857	0.00884955752212389	0.00249376558603491	MRTO4
MSH2	DNA mismatch repair protein Msh2 OS=Homo sapiens GN=MSH2 PE=1 SV=1	sp|P43246|MSH2_HUMAN	105 kDa	11	6	ncih1373_af1521.adpr.msbio	P43246	4436	-5	-0.454545454545455	105	11.0095238095238	6.00952380952381	0.545847750865052	0.545867393278837	MSH2
MSH6	DNA mismatch repair protein Msh6 OS=Homo sapiens GN=MSH6 PE=1 SV=2	sp|P52701|MSH6_HUMAN	153 kDa	6	0	ncih1373_af1521.adpr.msbio	P52701	2956	-6	-1	153	6.00653594771242	0.0065359477124183	0.00108813928182807	0.00166389351081531	MSH6
MSN	Moesin OS=Homo sapiens GN=MSN PE=1 SV=3	sp|P26038|MOES_HUMAN	68 kDa	74	105	ncih1373_af1521.adpr.msbio	P26038	4478	31	0.295238095238095	68	74.0147058823529	105.014705882353	1.41883568448242	1.41886231590326	MSN
MTHFD1	"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3"	sp|P11586|C1TC_HUMAN	102 kDa	23	9	ncih1373_af1521.adpr.msbio	P11586	4522	-14	-0.608695652173913	102	23.0098039215686	9.00980392156863	0.391563698338304	0.391568883094307	MTHFD1
MTIF2	"Translation initiation factor IF-2, mitochondrial OS=Homo sapiens GN=MTIF2 PE=1 SV=2"	sp|P46199|IF2M_HUMAN	81 kDa	3	0	ncih1373_af1521.adpr.msbio	P46199	4528	-3	-1	81	3.01234567901235	0.0123456790123457	0.0040983606557377	0.00332225913621263	MTIF2
MTIF3	"Translation initiation factor IF-3, mitochondrial OS=Homo sapiens GN=MTIF3 PE=1 SV=4"	sp|Q9H2K0|IF3M_HUMAN	32 kDa	2	9	ncih1373_af1521.adpr.msbio	Q9H2K0	219402	7	0.777777777777778	32	2.03125	9.03125	4.44615384615385	4.48258706467662	MTIF3
MVP	Major vault protein OS=Homo sapiens GN=MVP PE=1 SV=4	sp|Q14764|MVP_HUMAN	99 kDa	6	3	ncih1373_af1521.adpr.msbio	Q14764	9961	-3	-0.5	99	6.01010101010101	3.01010101010101	0.500840336134454	0.500831946755408	MVP
MX1	Interferon-induced GTP-binding protein Mx1 OS=Homo sapiens GN=MX1 PE=1 SV=4	sp|P20591|MX1_HUMAN	76 kDa	0	9	ncih1373_af1521.adpr.msbio	P20591	4599	9	1	76	0.0131578947368421	9.01315789473684	685	901	MX1
MYH9	Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	sp|P35579|MYH9_HUMAN	227 kDa	218	162	ncih1373_af1521.adpr.msbio	P35579	4627	-56	-0.256880733944954	227	218.004405286344	162.004405286344	0.743124456928082	0.743131049034448	MYH9
MYL12B	Myosin regulatory light chain 12B OS=Homo sapiens GN=MYL12B PE=1 SV=2	sp|O14950|ML12B_HUMAN (+1)	20 kDa	4	4	ncih1373_af1521.adpr.msbio	O14950	103910	0	0	20	4.05	4.05	1	1	MYL12B
MYL6	Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2	sp|P60660|MYL6_HUMAN	17 kDa	9	9	ncih1373_af1521.adpr.msbio	P60660	4637	0	0	17	9.05882352941176	9.05882352941176	1	1	MYL6
MYO1B	Unconventional myosin-Ib OS=Homo sapiens GN=MYO1B PE=1 SV=3	sp|O43795|MYO1B_HUMAN	132 kDa	3	0	ncih1373_af1521.adpr.msbio	O43795	4430	-3	-1	132	3.00757575757576	0.00757575757575758	0.00251889168765743	0.00332225913621263	MYO1B
MYO1C	Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C PE=1 SV=4	sp|O00159|MYO1C_HUMAN	122 kDa	5	0	ncih1373_af1521.adpr.msbio	O00159	4641	-5	-1	122	5.00819672131148	0.00819672131147541	0.0016366612111293	0.00199600798403194	MYO1C
MYOF	Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1	sp|Q9NZM1|MYOF_HUMAN	235 kDa	40	45	ncih1373_af1521.adpr.msbio	Q9NZM1	26509	5	0.111111111111111	235	40.0042553191489	45.0042553191489	1.12498670354218	1.12496875781055	MYOF
NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens GN=NACA PE=1 SV=1"	sp|E9PAV3|NACAM_HUMAN (+1)	205 kDa	6	3	ncih1373_af1521.adpr.msbio	E9PAV3	4666	-3	-0.5	205	6.00487804878049	3.00487804878049	0.500406173842405	0.500831946755408	NACA
NAMPT	Nicotinamide phosphoribosyltransferase OS=Homo sapiens GN=NAMPT PE=1 SV=1	sp|P43490|NAMPT_HUMAN	56 kDa	13	20	ncih1373_af1521.adpr.msbio	P43490	10135	7	0.35	56	13.0178571428571	20.0178571428571	1.53772290809328	1.5380476556495	NAMPT
NAPA	Alpha-soluble NSF attachment protein OS=Homo sapiens GN=NAPA PE=1 SV=3	sp|P54920|SNAA_HUMAN	33 kDa	2	0	ncih1373_af1521.adpr.msbio	P54920	8775	-2	-1	33	2.03030303030303	0.0303030303030303	0.0149253731343284	0.00497512437810945	NAPA
NAT10	RNA cytidine acetyltransferase OS=Homo sapiens GN=NAT10 PE=1 SV=2	sp|Q9H0A0|NAT10_HUMAN	116 kDa	4	0	ncih1373_af1521.adpr.msbio	Q9H0A0	55226	-4	-1	116	4.00862068965517	0.00862068965517241	0.0021505376344086	0.00249376558603491	NAT10
NCAPD2	Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3	sp|Q15021|CND1_HUMAN	157 kDa	7	0	ncih1373_af1521.adpr.msbio	Q15021	9918	-7	-1	157	7.00636942675159	0.00636942675159236	0.000909090909090909	0.0014265335235378	NCAPD2
NCAPG	Condensin complex subunit 3 OS=Homo sapiens GN=NCAPG PE=1 SV=1	sp|Q9BPX3|CND3_HUMAN	114 kDa	3	0	ncih1373_af1521.adpr.msbio	Q9BPX3	64151	-3	-1	114	3.00877192982456	0.0087719298245614	0.00291545189504373	0.00332225913621263	NCAPG
NCAPH	Condensin complex subunit 2 OS=Homo sapiens GN=NCAPH PE=1 SV=3	sp|Q15003|CND2_HUMAN	83 kDa	4	0	ncih1373_af1521.adpr.msbio	Q15003	23397	-4	-1	83	4.01204819277108	0.0120481927710843	0.003003003003003	0.00249376558603491	NCAPH
NCEH1	Neutral cholesterol ester hydrolase 1 OS=Homo sapiens GN=NCEH1 PE=1 SV=3	sp|Q6PIU2|NCEH1_HUMAN	46 kDa	18	14	ncih1373_af1521.adpr.msbio	Q6PIU2	57552	-4	-0.222222222222222	46	18.0217391304348	14.0217391304348	0.778045838359469	0.777901166018878	NCEH1
NCL	Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	sp|P19338|NUCL_HUMAN	77 kDa	56	49	ncih1373_af1521.adpr.msbio	P19338	4691	-7	-0.125	77	56.012987012987	49.012987012987	0.875028982146997	0.875022317443314	NCL
NCOR2	Nuclear receptor corepressor 2 OS=Homo sapiens GN=NCOR2 PE=1 SV=2	sp|Q9Y618|NCOR2_HUMAN	275 kDa	2	0	ncih1373_af1521.adpr.msbio	Q9Y618	9612	-2	-1	275	2.00363636363636	0.00363636363636364	0.00181488203266788	0.00497512437810945	NCOR2
NCSTN	Nicastrin OS=Homo sapiens GN=NCSTN PE=1 SV=2	sp|Q92542|NICA_HUMAN	78 kDa	2	2	ncih1373_af1521.adpr.msbio	Q92542	23385	0	0	78	2.01282051282051	2.01282051282051	1	1	NCSTN
NDUFA4	Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens GN=NDUFA4 PE=1 SV=1	sp|O00483|NDUA4_HUMAN	9 kDa	2	0	ncih1373_af1521.adpr.msbio	O00483	4697	-2	-1	9	2.11111111111111	0.111111111111111	0.0526315789473684	0.00497512437810945	NDUFA4
NDUFAF2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 OS=Homo sapiens GN=NDUFAF2 PE=1 SV=1	sp|Q8N183|NDUF2_HUMAN	20 kDa	6	0	ncih1373_af1521.adpr.msbio	Q8N183	91942	-6	-1	20	6.05	0.05	0.00826446280991736	0.00166389351081531	NDUFAF2
NDUFS3	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1"	sp|O75489|NDUS3_HUMAN	30 kDa	3	0	ncih1373_af1521.adpr.msbio	O75489	4722	-3	-1	30	3.03333333333333	0.0333333333333333	0.010989010989011	0.00332225913621263	NDUFS3
NEFM	Neurofilament medium polypeptide OS=Homo sapiens GN=NEFM PE=1 SV=3	sp|P07197|NFM_HUMAN	102 kDa	5	0	ncih1373_af1521.adpr.msbio	P07197	4741	-5	-1	102	5.00980392156863	0.00980392156862745	0.00195694716242661	0.00199600798403194	NEFM
NES	Nestin OS=Homo sapiens GN=NES PE=1 SV=2	sp|P48681|NEST_HUMAN	177 kDa	4	9	ncih1373_af1521.adpr.msbio	P48681	10763	5	0.555555555555556	177	4.00564971751412	9.00564971751412	2.24823695345557	2.24688279301746	NES
NIPSNAP1	Protein NipSnap homolog 1 OS=Homo sapiens GN=NIPSNAP1 PE=1 SV=1	sp|Q9BPW8|NIPS1_HUMAN	33 kDa	7	10	ncih1373_af1521.adpr.msbio	Q9BPW8	8508	3	0.3	33	7.03030303030303	10.030303030303	1.42672413793103	1.42796005706134	NIPSNAP1
NIPSNAP2	Protein NipSnap homolog 2 OS=Homo sapiens GN=NIPSNAP2 PE=1 SV=1	sp|O75323|NIPS2_HUMAN	34 kDa	0	6	ncih1373_af1521.adpr.msbio	O75323	2631	6	1	34	0.0294117647058824	6.02941176470588	205	601	NIPSNAP2
NLRP2	"NACHT, LRR and PYD domains-containing protein 2 OS=Homo sapiens GN=NLRP2 PE=1 SV=1"	sp|Q9NX02|NALP2_HUMAN	121 kDa	2	0	ncih1373_af1521.adpr.msbio	Q9NX02	55655	-2	-1	121	2.00826446280992	0.00826446280991736	0.00411522633744856	0.00497512437810945	NLRP2
NME2	Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1	sp|P22392|NDKB_HUMAN	17 kDa	6	7	ncih1373_af1521.adpr.msbio	P22392	4831	1	0.142857142857143	17	6.05882352941176	7.05882352941176	1.16504854368932	1.16638935108153	NME2
NNT	"NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens GN=NNT PE=1 SV=3"	sp|Q13423|NNTM_HUMAN	114 kDa	11	3	ncih1373_af1521.adpr.msbio	Q13423	23530	-8	-0.727272727272727	114	11.0087719298246	3.00877192982456	0.273306772908367	0.27338782924614	NNT
NOL11	Nucleolar protein 11 OS=Homo sapiens GN=NOL11 PE=1 SV=1	sp|Q9H8H0|NOL11_HUMAN	81 kDa	7	0	ncih1373_af1521.adpr.msbio	Q9H8H0	25926	-7	-1	81	7.01234567901235	0.0123456790123457	0.00176056338028169	0.0014265335235378	NOL11
NOLC1	Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1 PE=1 SV=2	sp|Q14978|NOLC1_HUMAN	74 kDa	25	17	ncih1373_af1521.adpr.msbio	Q14978	9221	-8	-0.32	74	25.0135135135135	17.0135135135135	0.680172879524581	0.680127948820472	NOLC1
NOMO3	Nodal modulator 3 OS=Homo sapiens GN=NOMO3 PE=3 SV=2	sp|P69849|NOMO3_HUMAN (+2)	134 kDa	5	9	ncih1373_af1521.adpr.msbio	P69849	408050	4	0.444444444444444	134	5.00746268656716	9.00746268656716	1.79880774962742	1.79840319361277	NOMO3
NONO	Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4	sp|Q15233|NONO_HUMAN	54 kDa	22	5	ncih1373_af1521.adpr.msbio	Q15233	4841	-17	-0.772727272727273	54	22.0185185185185	5.01851851851852	0.227922624053827	0.227623807360291	NONO
NPM1	Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2	sp|P06748|NPM_HUMAN	33 kDa	25	25	ncih1373_af1521.adpr.msbio	P06748	4869	0	0	33	25.030303030303	25.030303030303	1	1	NPM1
NQO1	NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens GN=NQO1 PE=1 SV=1	sp|P15559|NQO1_HUMAN	31 kDa	5	4	ncih1373_af1521.adpr.msbio	P15559	1728	-1	-0.2	31	5.03225806451613	4.03225806451613	0.801282051282051	0.800399201596806	NQO1
NRP1	Neuropilin-1 OS=Homo sapiens GN=NRP1 PE=1 SV=3	sp|O14786|NRP1_HUMAN	103 kDa	2	3	ncih1373_af1521.adpr.msbio	O14786	8829	1	0.333333333333333	103	2.00970873786408	3.00970873786408	1.4975845410628	1.49751243781095	NRP1
NSDHL	"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating OS=Homo sapiens GN=NSDHL PE=1 SV=2"	sp|Q15738|NSDHL_HUMAN	42 kDa	3	0	ncih1373_af1521.adpr.msbio	Q15738	50814	-3	-1	42	3.02380952380952	0.0238095238095238	0.0078740157480315	0.00332225913621263	NSDHL
NSF	Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=1 SV=3	sp|P46459|NSF_HUMAN	83 kDa	3	0	ncih1373_af1521.adpr.msbio	P46459	4905	-3	-1	83	3.01204819277108	0.0120481927710843	0.004	0.00332225913621263	NSF
NSRP1	Nuclear speckle splicing regulatory protein 1 OS=Homo sapiens GN=NSRP1 PE=1 SV=1	sp|Q9H0G5|NSRP1_HUMAN	66 kDa	50	46	ncih1373_af1521.adpr.msbio	Q9H0G5	84081	-4	-0.08	66	50.0151515151515	46.0151515151515	0.920024235080279	0.92001599680064	NSRP1
NT5E	5'-nucleotidase OS=Homo sapiens GN=NT5E PE=1 SV=1	sp|P21589|5NTD_HUMAN	63 kDa	12	9	ncih1373_af1521.adpr.msbio	P21589	4907	-3	-0.25	63	12.015873015873	9.01587301587302	0.750330250990753	0.750208159866778	NT5E
NUDC	Nuclear migration protein nudC OS=Homo sapiens GN=NUDC PE=1 SV=1	sp|Q9Y266|NUDC_HUMAN	38 kDa	2	0	ncih1373_af1521.adpr.msbio	Q9Y266	10726	-2	-1	38	2.02631578947368	0.0263157894736842	0.012987012987013	0.00497512437810945	NUDC
NUDCD1	NudC domain-containing protein 1 OS=Homo sapiens GN=NUDCD1 PE=1 SV=2	sp|Q96RS6|NUDC1_HUMAN	67 kDa	8	3	ncih1373_af1521.adpr.msbio	Q96RS6	84955	-5	-0.625	67	8.01492537313433	3.01492537313433	0.376163873370577	0.375780274656679	NUDCD1
NUDT21	Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens GN=NUDT21 PE=1 SV=1	sp|O43809|CPSF5_HUMAN	26 kDa	83	76	ncih1373_af1521.adpr.msbio	O43809	11051	-7	-0.0843373493975904	26	83.0384615384615	76.0384615384615	0.915701713756369	0.915672810504758	NUDT21
NUFIP2	Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens GN=NUFIP2 PE=1 SV=1	sp|Q7Z417|NUFP2_HUMAN	76 kDa	7	9	ncih1373_af1521.adpr.msbio	Q7Z417	57532	2	0.222222222222222	76	7.01315789473684	9.01315789473684	1.28517823639775	1.28530670470756	NUFIP2
NUMA1	Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2	sp|Q14980|NUMA1_HUMAN	238 kDa	29	8	ncih1373_af1521.adpr.msbio	Q14980	4926	-21	-0.724137931034483	238	29.0042016806723	8.00420168067227	0.275966970882225	0.276111685625646	NUMA1
NUP107	Nuclear pore complex protein Nup107 OS=Homo sapiens GN=NUP107 PE=1 SV=1	sp|P57740|NU107_HUMAN	106 kDa	6	0	ncih1373_af1521.adpr.msbio	P57740	57122	-6	-1	106	6.00943396226415	0.00943396226415094	0.00156985871271586	0.00166389351081531	NUP107
NUP133	Nuclear pore complex protein Nup133 OS=Homo sapiens GN=NUP133 PE=1 SV=2	sp|Q8WUM0|NU133_HUMAN	129 kDa	3	0	ncih1373_af1521.adpr.msbio	Q8WUM0	55746	-3	-1	129	3.0077519379845	0.00775193798449612	0.00257731958762887	0.00332225913621263	NUP133
NUP155	Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1	sp|O75694|NU155_HUMAN	155 kDa	35	23	ncih1373_af1521.adpr.msbio	O75694	9631	-12	-0.342857142857143	155	35.0064516129032	23.0064516129032	0.657206044968669	0.657240788346187	NUP155
NUP160	Nuclear pore complex protein Nup160 OS=Homo sapiens GN=NUP160 PE=1 SV=3	sp|Q12769|NU160_HUMAN	162 kDa	7	2	ncih1373_af1521.adpr.msbio	Q12769	23279	-5	-0.714285714285714	162	7.00617283950617	2.00617283950617	0.286343612334802	0.286733238231098	NUP160
NUP205	Nuclear pore complex protein Nup205 OS=Homo sapiens GN=NUP205 PE=1 SV=3	sp|Q92621|NU205_HUMAN	228 kDa	5	0	ncih1373_af1521.adpr.msbio	Q92621	23165	-5	-1	228	5.00438596491228	0.0043859649122807	0.000876424189307625	0.00199600798403194	NUP205
NUP210	Nuclear pore membrane glycoprotein 210 OS=Homo sapiens GN=NUP210 PE=1 SV=3	sp|Q8TEM1|PO210_HUMAN	205 kDa	3	0	ncih1373_af1521.adpr.msbio	Q8TEM1	23225	-3	-1	205	3.00487804878049	0.0048780487804878	0.00162337662337662	0.00332225913621263	NUP210
NUP214	Nuclear pore complex protein Nup214 OS=Homo sapiens GN=NUP214 PE=1 SV=2	sp|P35658|NU214_HUMAN	214 kDa	2	2	ncih1373_af1521.adpr.msbio	P35658	8021	0	0	214	2.00467289719626	2.00467289719626	1	1	NUP214
NUP93	Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2	sp|Q8N1F7|NUP93_HUMAN	93 kDa	4	0	ncih1373_af1521.adpr.msbio	Q8N1F7	9688	-4	-1	93	4.01075268817204	0.010752688172043	0.00268096514745308	0.00249376558603491	NUP93
NUP98	Nuclear pore complex protein Nup98-Nup96 OS=Homo sapiens GN=NUP98 PE=1 SV=4	sp|P52948|NUP98_HUMAN	198 kDa	6	0	ncih1373_af1521.adpr.msbio	P52948	4928	-6	-1	198	6.00505050505051	0.00505050505050505	0.000841042893187553	0.00166389351081531	NUP98
